RESPONDEU_MODULO,CÓDIGO DO IBGE,MUNICÍPIO,UF,MACRORREGIÃO,CAPITAL,CNPJ, SECRETARIA OU SETOR RESPONSÁVEL,NATUREZA JURIDICA,POPULAÇÃO TOTAL,POPULAÇÃO URBANA,POPULAÇÃO RURAL,Quantidade de domicílios totais existente no município,Quantidade de domicílios urbanos existente no município,Quantidade de domicílios rurais existente no município,Área (Km²),Executor do serviço de varrição de sarjetas e logradouros públicos,Extensão de sarjetas varridas,"Área de varrição de superfície de logradouros públicos, incluindo limpeza de detritos por espeto/garfo",Há algum tipo de varrição mecanizada no município?,Outros serviços de limpeza urbana executados no município,Houve contratação de trabalhadores temporários para reforço na execução de algum dos serviços de limpeza urbana e/ou manejo de resíduos sólidos?,Trabalhadores temporários contratados,year
Sim,4300034,Aceguá,RS,Sul,,04.217.437/0001-32,Secretaria de Obras e Serviços Públicos,Município,4211,1015,3196,2144,515,1629,1551.34,Agente público,5.0,,Não,"4-Poda de árvores 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
",Não,,2023
Sim,4300059,Água Santa,RS,Sul,,92.406.495/0001-71,SECRETARIA DE SERVIÇOS URBANOS,Município,3951,1536,2415,1612,660,952,291.5,Agente público,100.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
3-Capina e roçada química 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300109,Agudo,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16201,6674,9527,7442,3116,4326,534.62,Agente público,1200.0,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
6-Limpeza de feiras livres ou mercados públicos 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Não,4300208,Ajuricaba,RS,Sul,,,,,6787,3843,2944,3018,1694,1324,322.67,,,,,,,,2023
Sim,4300307,Alecrim,RS,Sul,,87.612.784/0001-97,SECRETARIA DE DESENVOLVIMENTO RURAL E MEIO AMBIENTE,Município,6183,1900,4283,3324,967,2357,316.39,Agente público e agente privado,10.0,,Não,"1-Capina e roçada manual 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Sim,4.0,2023
Sim,4300406,Alegrete,RS,Sul,,87.896.874/0001-57,SECRETARIA DE MEIO AMBIENTE,Município,73128,65539,7589,34966,29873,5093,7800.43,Agente público,1340.0,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
",Não,,2023
Sim,4300455,Alegria,RS,Sul,,92.465.228/0001-75,SECRETARIA MUNICIPAL DA AGRICULTURA,Município,3687,1359,2328,1883,684,1199,172.79,Agente público,14.0,,Sim,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
12-Limpeza de lotes vagos 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300471,Almirante Tamandaré do Sul,RS,Sul,,04.215.782/0001-37,SECRETARIA MUNICIPAL DE AGRICULTURA INDUSTRIA COMERCIO E MEIO AMBIENTE,Município,1988,807,1181,987,399,588,265.04,O serviço não é executado,,,,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300505,Alpestre,RS,Sul,,87.612.933/0001-18,MUNICÍPIO DE ALPESTRE,Município,7188,1980,5208,3485,986,2499,325.98,Agente público,5.0,,Sim,"2-Capina e roçada mecanizada 
3-Capina e roçada química 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
",Não,,2023
Sim,4300554,Alto Alegre,RS,Sul,,92.406.057/0001-03,SECRETARIA DO MEIO AMBIENTE,Município,1818,731,1087,818,347,471,115.34,Agente público,1200.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300570,Alto Feliz,RS,Sul,,92.123.926/0001-92,adm,Município,3103,868,2235,1643,489,1154,78.18,O serviço não é executado,,,,"21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300604,Alvorada,RS,Sul,,88.000.906/0001-57,PREFEITURA MUNICIPAL DE ALVORADA,Município,189181,189181,0,80454,80454,0,71.7,Agente público,1899.0,,Não,"2-Capina e roçada mecanizada 
5-Lavação de vias e praças públicas 
6-Limpeza de feiras livres ou mercados públicos 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4300638,Amaral Ferrador,RS,Sul,,90.152.299/0001-92,SECRETARIA DE OBRAS,Município,5362,1575,3787,2906,893,2013,505.98,O serviço não é executado,,,,"1-Capina e roçada manual 
",Não,,2023
Sim,4300646,Ametista do Sul,RS,Sul,,92.411.156/0001-83,DEPARTAMENTO MUNICIPAL DE MEIO AMBIENTE,Município,7727,4021,3706,3410,1829,1581,93.7,Agente público,18.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
",Sim,2.0,2023
Sim,4300661,André da Rocha,RS,Sul,,90.483.066/0001-72,PREFEITURA MUNICIPAL DE ANDRÉ DA ROCHA,Município,1147,468,679,646,228,418,331.21,Agente público e agente privado,4.0,0.0,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
",Não,,2023
Sim,4300703,Anta Gorda,RS,Sul,,87.261.509/0001-76,DEPARTAMENTO DE MEIO AMBIENTE,Município,6016,2309,3707,2786,1136,1650,242.1,Agente público,21.0,,Sim,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
",Não,,2023
Sim,4300802,Antônio Prado,RS,Sul,,87.842.233/0001-10,"SECRETARIA DA AGRICULTURA, MEIO AMBIENTE E DESENVOLVIMENTO INDUSTRIAL - SAMADI",Município,13176,9482,3694,6236,4481,1755,347.54,Agente público,1000.0,10000.0,Sim,"1-Capina e roçada manual 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Sim,6.0,2023
Sim,4300851,Arambaré,RS,Sul,,90.152.950/0001-24,SECRETARIA MUNICIPAL DO MEIO AMBIENTE E INFRAESTRUTURA - DIVISÃO DE MEIO AMBIENTE E AGRICULTURA,Município,4153,3276,877,4864,4183,681,518.19,Agente público,2800.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
6-Limpeza de feiras livres ou mercados públicos 
7-Limpeza de praias 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Sim,5.0,2023
Sim,4300877,Araricá,RS,Sul,,01.612.918/0001-54,Secretaria Municipal de Meio Ambiente,Município,8614,7077,1537,3614,2940,674,35.39,Agente público,20.0,,Não,"2-Capina e roçada mecanizada 
4-Poda de árvores 
",Não,,2023
Não,4300901,Aratiba,RS,Sul,,,,,6547,3307,3240,3467,1824,1643,342.28,,,,,,,,2023
Sim,4301008,Arroio do Meio,RS,Sul,,87.297.271/0001-39,Paulo Régis Rheinheimer Júnior,Município,22180,17315,4865,9879,7605,2274,157.09,Agente privado,100.0,50.0,Não,"4-Poda de árvores 
11-Pintura de meios-fios e guias 
",Não,,2023
Sim,4301057,Arroio do Sal,RS,Sul,,91.103.093/0001-35,SECRETARIA DE MEIO AMBIENTE DE ARROIO DO SAL,Município,11171,10838,333,18988,18720,268,119.16,Agente público,576.0,1152000.0,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
6-Limpeza de feiras livres ou mercados públicos 
7-Limpeza de praias 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
12-Limpeza de lotes vagos 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Sim,6.0,2023
Sim,4301073,Arroio do Padre,RS,Sul,,04.218.960/0001-83,SECRETARIA MUNICIPAL DE OBRAS INFRAESTRUTURA SANEAMENTO E TRANSITO,Município,2625,437,2188,999,196,803,124.69,O serviço não é executado,,,,"1-Capina e roçada manual 
4-Poda de árvores 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4301107,Arroio dos Ratos,RS,Sul,,88.363.072/0001-44,SECRETARIAMUNICIPAL DE MEIO AMBIENTE,Município,14748,14043,705,7067,6477,590,425.79,Agente público e agente privado,200.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
",Sim,24.0,2023
Sim,4301206,Arroio do Tigre,RS,Sul,,87.590.998/0001-00,PREFEITURA DE ARROIO DO TIGRE,Município,12178,5740,6438,5092,2579,2513,315.13,Agente público,12.0,,Sim,"4-Poda de árvores 
11-Pintura de meios-fios e guias 
",Não,,2023
Sim,4301305,Arroio Grande,RS,Sul,,88.860.366/0001-81,SECRETARIA MUNICIPAL DE MEIO AMBIENTE,Município,17733,15443,2290,9591,7758,1833,2508.56,Agente público,324.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
7-Limpeza de praias 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4301404,Arvorezinha,RS,Sul,,87.612.750/0001-00,"SECRETARIO DA AGRICULTURA, ECOLOGIA E MEIO AMBIENTE",Município,10425,6396,4029,4629,2934,1695,269.31,Agente público,20.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
",Não,,2023
Sim,4301503,Augusto Pestana,RS,Sul,,87.613.246/0001-17,SECRETARIA MUNICIPAL DE OBRAS,Município,7220,3721,3499,3289,1720,1569,348.22,O serviço não é executado,,,,"2-Capina e roçada mecanizada 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
",Não,,2023
Sim,4301552,Áurea,RS,Sul,,92.453.802/0001-75,PREFEITURA MUNICIPAL DE ÁUREA,Município,3429,1438,1991,1650,707,943,156.73,Agente público,500.0,,Não,"1-Capina e roçada manual 
11-Pintura de meios-fios e guias 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4301602,Bagé,RS,Sul,,88.073.291/0001-99,SECRETARIA DE MEIO AMBIENTE E PROTEÇÃO AO BIOMA PAMPA,Município,119119,99711,19408,54147,45630,8517,4090.36,Agente público,7000.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
6-Limpeza de feiras livres ou mercados públicos 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4301636,Balneário Pinhal,RS,Sul,,01.611.339/0001-97,"SECRETARIA DE OBRAS, TRÂNSITO, TRANSPORTES E SERVIÇOS URBANOS",Município,15108,14951,157,19454,19371,83,102.39,Agente público,100.0,90.0,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
7-Limpeza de praias 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
",Não,,2023
Não,4301651,Barão,RS,Sul,,,,,6526,3376,3150,3031,1523,1508,124.76,,,,,,,,2023
Sim,4301701,Barão de Cotegipe,RS,Sul,,87.613.451/0001-82,SECRETARIA DE AGRICULTURA E MEIO AMBIENTE,Município,7216,4383,2833,3246,2031,1215,260.51,Agente público,8.0,,Não,"1-Capina e roçada manual 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4301750,Barão do Triunfo,RS,Sul,,91.900.365/0001-28,SECRETARIA DE AGRICULTURA E MEIO AMBIENTE,Município,5947,591,5356,3479,400,3079,436.1,Agente público,3.0,0.0,Não,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Sim,1.0,2023
Sim,4301800,Barracão,RS,Sul,,87.613.618/0001-05,Secretaria de Agricultura,Município,4879,2766,2113,2477,1390,1087,515.47,Agente público,1152.0,,Não,"1-Capina e roçada manual 
",Sim,5.0,2023
Sim,4301859,Barra do Guarita,RS,Sul,,94.726.312/0001-20,SECRETARIA DE ADMINISTRAÇÃO,Município,3193,1417,1776,1388,608,780,62.8,Agente privado,110.0,,Não,"4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4301875,Barra do Quaraí,RS,Sul,,01.610.910/0001-59,SECRETARIA DE MEIO AMBIENTE,Município,4283,3032,1251,1744,1067,677,1055.94,Agente público,200.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
",Não,,2023
Sim,4301909,Barra do Ribeiro,RS,Sul,,88.811.930/0001-76,SECRETARIA DE OBRAS,Município,12347,9125,3222,6572,4501,2071,729.32,Agente público,180.0,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
6-Limpeza de feiras livres ou mercados públicos 
7-Limpeza de praias 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Sim,5.0,2023
Sim,4301925,Barra do Rio Azul,RS,Sul,,93.539.153/0001-92,Secretaria de administração ,Município,1713,345,1368,729,173,556,147.0,Agente público,6.0,,Não,"3-Capina e roçada química 
5-Lavação de vias e praças públicas 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4301958,Barra Funda,RS,Sul,,94.704.004/0001-02,SECRETARIA DE OBRAS,Município,2523,1622,901,1037,669,368,60.44,Agente público,150.0,20.0,Não,"1-Capina e roçada manual 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Não,4302006,Barros Cassal,RS,Sul,,,,,9387,2977,6410,4871,1559,3312,647.99,,,,,,,,2023
Sim,4302055,Benjamin Constant do Sul,RS,Sul,,01.612.292/0001-86,SECRETARIA MUNICIPAL DE AGRICULTURA,Município,2103,311,1792,854,168,686,132.35,Agente público,25.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
",Não,,2023
Sim,4302105,Bento Gonçalves,RS,Sul,,87.849.923/0001-09,SECRETARIA MUNICIPAL DO MEIO AMBIENTE,Município,124397,114878,9519,56099,51504,4595,272.29,Agente privado,13950.0,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
6-Limpeza de feiras livres ou mercados públicos 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
12-Limpeza de lotes vagos 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
18-Limpeza de bota-foras programada 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Sim,22.0,2023
Sim,4302154,Boa Vista das Missões,RS,Sul,,92.410.562/0001-21,PREFEITURA MUNICIPAL DE BOA VISTA DAS MISSÕES,Município,1952,818,1134,915,370,545,196.06,Agente público,12.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
12-Limpeza de lotes vagos 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Sim,2.0,2023
Sim,4302204,Boa Vista do Buricá,RS,Sul,,87.612.867/0001-86,SECRETARIA MUNICIPAL DA AGRICULTURA E MEIO AMBIENTE,Município,7036,4673,2363,3053,2042,1011,109.54,Agente público,150.0,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
",Não,,2023
Sim,4302220,Boa Vista do Cadeado,RS,Sul,,04.216.132/0001-06,"SECRETARIA DA SAÚDE, DESENVOLVIMENTO SOCIAL, HABITAÇÃO E SANEAMENTO",Município,2251,435,1816,1092,207,885,701.22,Agente público,15.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
",Não,,2023
Sim,4302238,Boa Vista do Incra,RS,Sul,,04.215.199/0001-26,"SECRETARIA MUNICIPAL DE INDÚSTRIA, COMÉRCIO, AGRICULTURA E MEIO AMBIENTE",Município,2294,685,1609,1020,301,719,504.11,Agente público,14.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
6-Limpeza de feiras livres ou mercados públicos 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4302253,Boa Vista do Sul,RS,Sul,,01.602.022/0001-94,Secretaria da agricultura e meio ambiente,Município,2806,395,2411,1303,187,1116,94.4,Agente público,7.0,500.0,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4302303,Bom Jesus,RS,Sul,,87.851.200/0001-36,Secretaria Municipal do Meio Ambiente,Município,11314,8440,2874,5477,3833,1644,2622.84,Agente público,21.0,,Não,"1-Capina e roçada manual 
8-Serviços eventuais (shows e eventos típicos públicos) 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
",Não,,2023
Não,4302352,Bom Princípio,RS,Sul,,,,,13275,10357,2918,5880,4570,1310,88.66,,,,,,,,2023
Sim,4302378,Bom Progresso,RS,Sul,,94.726.353/0001-17,SECRETARIA DE AGRICULTURA E MEIO AMBIENTE,Município,2117,1042,1075,979,481,498,89.21,Agente público,5.0,,Não,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
",Não,,2023
Sim,4302402,Bom Retiro do Sul,RS,Sul,,87.242.707/0001-92,"SECRETARIA MUNICIPAL DE OBRAS, VIAÇÃO, URBANISMO E TRÂNSITO",Município,12417,9917,2500,5911,4535,1376,102.54,Agente público,510.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4302451,Boqueirão do Leão,RS,Sul,,92.454.818/0001-00,SECRETARIA DE AGRICULTURA E MEIO AMBIENTE - PREFEITURA MUNICIPAL DE BOQUEIRÃO DO LEÃO,Município,6309,1375,4934,3132,757,2375,265.4,Agente público,30.0,,Não,"1-Capina e roçada manual 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
12-Limpeza de lotes vagos 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,,2023
Sim,4302501,Bossoroca,RS,Sul,,87.613.014/0001-69,SECRETARIA DE OBRAS E TRÂNSITO,Município,5948,3181,2767,3380,1771,1609,1610.06,Agente público,8000.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
